Model Size,Dataset Fraction,Epoch,Train Loss,Train Accuracy,Test Accuracy,Test Loss
1,0.3333333333333333,145,0.05782377271420637,95.13,93.61,0.2138791227620095
1,0.3333333333333333,146,0.059022438231926815,94.995,93.51,0.2142763481941074
1,0.3333333333333333,147,0.059746998130895526,95.125,93.75,0.21570745285600423
1,0.3333333333333333,148,0.06223520973495617,95.175,93.69,0.21237439266406
1,0.3333333333333333,149,0.054392466001260055,95.24,93.7,0.2118239824194461
1,0.3333333333333333,150,0.05891919316379887,95.185,93.62,0.21386207750998437
1,0.3333333333333333,151,0.05858972668647766,95.055,93.45,0.21590296638663858
1,0.3333333333333333,152,0.05593711702497142,95.26,93.73,0.2148223755415529
1,0.3333333333333333,153,0.06018214615856766,94.99,93.65,0.2126794902049005
1,0.3333333333333333,154,0.05732236705293321,95.19,93.72,0.2103323612594977
1,0.3333333333333333,155,0.05537082705717937,95.115,93.6,0.21205571894999595
1,0.3333333333333333,156,0.05550636137556878,95.27,93.76,0.2096280944533646
1,0.3333333333333333,157,0.05204695804863219,95.41,93.88,0.2092074686801061
1,0.3333333333333333,158,0.06017799058537574,95.21,93.84,0.20886771355755626
1,0.3333333333333333,159,0.05662481714585784,95.31,93.77,0.20605017489753663
1,0.3333333333333333,160,0.05492776174359261,95.36,93.63,0.21073321269825102
1,0.3333333333333333,161,0.05457929218081153,95.425,93.8,0.20865320631302894
1,0.3333333333333333,162,0.04991743300750757,95.375,94.01,0.20550831573083997
1,0.3333333333333333,163,0.056439193475777936,95.28,93.77,0.2117318892898038
1,0.3333333333333333,164,0.05380260716578004,95.4,93.78,0.2093522014375776
1,0.3333333333333333,165,0.05328739311095256,95.47,93.88,0.20575834553223105
1,0.3333333333333333,166,0.05625247922103117,95.43,93.87,0.20858013776596634
1,0.3333333333333333,167,0.05471008783502943,95.395,93.85,0.2115585240442306
1,0.3333333333333333,168,0.052865485049736725,95.395,93.88,0.20531712529715151
1,0.3333333333333333,169,0.05120089517277517,95.54,93.9,0.20599243978969753
1,0.3333333333333333,170,0.05285632591338674,95.495,93.87,0.20615124614909291
1,0.3333333333333333,171,0.053808403148013315,95.435,93.94,0.20738012033049016
1,0.3333333333333333,172,0.051538503283907654,95.44,93.94,0.2053629888035357
1,0.3333333333333333,173,0.04763213217638101,95.56,94.0,0.20324423254467547
1,0.3333333333333333,174,0.049313564992444534,95.615,93.99,0.2041814100043848
1,0.3333333333333333,175,0.053212526687391244,95.59,93.91,0.20682770766317846
1,0.3333333333333333,176,0.05335440591072581,95.595,94.03,0.2022480093082413
1,0.3333333333333333,177,0.048872147158832306,95.69,93.85,0.20690997498109936
1,0.3333333333333333,178,0.049753839280574946,95.6,93.97,0.20329708142671735
1,0.3333333333333333,179,0.05105995970546819,95.545,93.85,0.20664351135026662
1,0.3333333333333333,180,0.05062617724583407,95.575,93.92,0.20446109067182988
1,0.3333333333333333,181,0.05011622973118618,95.655,94.04,0.20143395042978227
1,0.3333333333333333,182,0.05416566385015561,95.76,93.94,0.20092215752694756
1,0.3333333333333333,183,0.05055259775583911,95.72,93.95,0.2037350915139541
1,0.3333333333333333,184,0.049460295042034925,95.82,94.05,0.20403322165831925
1,0.3333333333333333,185,0.048340795668447095,95.87,94.19,0.19827954064588993
1,0.3333333333333333,186,0.05095430926247767,95.75,94.07,0.2019004256883636
1,0.3333333333333333,187,0.04879060843188292,95.895,94.15,0.19799291680101305
1,0.3333333333333333,188,0.04840040026576656,95.85,93.92,0.20294508789200336
1,0.3333333333333333,189,0.05140195343240052,95.895,94.05,0.20221924347802997
1,0.3333333333333333,190,0.04766514130933269,95.91,94.08,0.20464121004100888
1,0.3333333333333333,191,0.046859384413547575,95.76,94.16,0.1973231668025255
1,0.3333333333333333,192,0.048225553931703996,95.91,94.17,0.19886000670026988
1,0.3333333333333333,193,0.04881470135537682,95.88,94.06,0.2036261200811714
1,0.3333333333333333,194,0.04838892962237832,96.095,94.13,0.20231808362994344
1,0.3333333333333333,195,0.04777268040332065,95.805,94.19,0.2006351106148213
1,0.3333333333333333,196,0.052180626423685414,95.885,94.2,0.19944224960170687
1,0.3333333333333333,197,0.048400955428932885,95.79,94.1,0.20004345716908575
1,0.3333333333333333,198,0.04681809740081714,95.955,94.12,0.19879641181323676
1,0.3333333333333333,199,0.04646384742134695,95.87,94.04,0.1991339954966679
